행정구역,2021년10월_계_총인구수,2021년10월_계_연령구간인구수,2021년10월_계_0세,2021년10월_계_1세,2021년10월_계_2세,2021년10월_계_3세,2021년10월_계_4세,2021년10월_계_5세,2021년10월_계_6세,2021년10월_계_7세,2021년10월_계_8세,2021년10월_계_9세,2021년10월_계_10세,2021년10월_계_11세,2021년10월_계_12세,2021년10월_계_13세,2021년10월_계_14세,2021년10월_계_15세,2021년10월_계_16세,2021년10월_계_17세,2021년10월_계_18세,2021년10월_계_19세,2021년10월_계_20세,2021년10월_계_21세,2021년10월_계_22세,2021년10월_계_23세,2021년10월_계_24세,2021년10월_계_25세,2021년10월_계_26세,2021년10월_계_27세,2021년10월_계_28세,2021년10월_계_29세,2021년10월_계_30세,2021년10월_계_31세,2021년10월_계_32세,2021년10월_계_33세,2021년10월_계_34세,2021년10월_계_35세,2021년10월_계_36세,2021년10월_계_37세,2021년10월_계_38세,2021년10월_계_39세,2021년10월_계_40세,2021년10월_계_41세,2021년10월_계_42세,2021년10월_계_43세,2021년10월_계_44세,2021년10월_계_45세,2021년10월_계_46세,2021년10월_계_47세,2021년10월_계_48세,2021년10월_계_49세,2021년10월_계_50세,2021년10월_계_51세,2021년10월_계_52세,2021년10월_계_53세,2021년10월_계_54세,2021년10월_계_55세,2021년10월_계_56세,2021년10월_계_57세,2021년10월_계_58세,2021년10월_계_59세,2021년10월_계_60세,2021년10월_계_61세,2021년10월_계_62세,2021년10월_계_63세,2021년10월_계_64세,2021년10월_계_65세,2021년10월_계_66세,2021년10월_계_67세,2021년10월_계_68세,2021년10월_계_69세,2021년10월_계_70세,2021년10월_계_71세,2021년10월_계_72세,2021년10월_계_73세,2021년10월_계_74세,2021년10월_계_75세,2021년10월_계_76세,2021년10월_계_77세,2021년10월_계_78세,2021년10월_계_79세,2021년10월_계_80세,2021년10월_계_81세,2021년10월_계_82세,2021년10월_계_83세,2021년10월_계_84세,2021년10월_계_85세,2021년10월_계_86세,2021년10월_계_87세,2021년10월_계_88세,2021년10월_계_89세,2021년10월_계_90세,2021년10월_계_91세,2021년10월_계_92세,2021년10월_계_93세,2021년10월_계_94세,2021년10월_계_95세,2021년10월_계_96세,2021년10월_계_97세,2021년10월_계_98세,2021년10월_계_99세,2021년10월_계_100세 이상,2021년10월_남_총인구수,2021년10월_남_연령구간인구수,2021년10월_남_0세,2021년10월_남_1세,2021년10월_남_2세,2021년10월_남_3세,2021년10월_남_4세,2021년10월_남_5세,2021년10월_남_6세,2021년10월_남_7세,2021년10월_남_8세,2021년10월_남_9세,2021년10월_남_10세,2021년10월_남_11세,2021년10월_남_12세,2021년10월_남_13세,2021년10월_남_14세,2021년10월_남_15세,2021년10월_남_16세,2021년10월_남_17세,2021년10월_남_18세,2021년10월_남_19세,2021년10월_남_20세,2021년10월_남_21세,2021년10월_남_22세,2021년10월_남_23세,2021년10월_남_24세,2021년10월_남_25세,2021년10월_남_26세,2021년10월_남_27세,2021년10월_남_28세,2021년10월_남_29세,2021년10월_남_30세,2021년10월_남_31세,2021년10월_남_32세,2021년10월_남_33세,2021년10월_남_34세,2021년10월_남_35세,2021년10월_남_36세,2021년10월_남_37세,2021년10월_남_38세,2021년10월_남_39세,2021년10월_남_40세,2021년10월_남_41세,2021년10월_남_42세,2021년10월_남_43세,2021년10월_남_44세,2021년10월_남_45세,2021년10월_남_46세,2021년10월_남_47세,2021년10월_남_48세,2021년10월_남_49세,2021년10월_남_50세,2021년10월_남_51세,2021년10월_남_52세,2021년10월_남_53세,2021년10월_남_54세,2021년10월_남_55세,2021년10월_남_56세,2021년10월_남_57세,2021년10월_남_58세,2021년10월_남_59세,2021년10월_남_60세,2021년10월_남_61세,2021년10월_남_62세,2021년10월_남_63세,2021년10월_남_64세,2021년10월_남_65세,2021년10월_남_66세,2021년10월_남_67세,2021년10월_남_68세,2021년10월_남_69세,2021년10월_남_70세,2021년10월_남_71세,2021년10월_남_72세,2021년10월_남_73세,2021년10월_남_74세,2021년10월_남_75세,2021년10월_남_76세,2021년10월_남_77세,2021년10월_남_78세,2021년10월_남_79세,2021년10월_남_80세,2021년10월_남_81세,2021년10월_남_82세,2021년10월_남_83세,2021년10월_남_84세,2021년10월_남_85세,2021년10월_남_86세,2021년10월_남_87세,2021년10월_남_88세,2021년10월_남_89세,2021년10월_남_90세,2021년10월_남_91세,2021년10월_남_92세,2021년10월_남_93세,2021년10월_남_94세,2021년10월_남_95세,2021년10월_남_96세,2021년10월_남_97세,2021년10월_남_98세,2021년10월_남_99세,2021년10월_남_100세 이상,2021년10월_여_총인구수,2021년10월_여_연령구간인구수,2021년10월_여_0세,2021년10월_여_1세,2021년10월_여_2세,2021년10월_여_3세,2021년10월_여_4세,2021년10월_여_5세,2021년10월_여_6세,2021년10월_여_7세,2021년10월_여_8세,2021년10월_여_9세,2021년10월_여_10세,2021년10월_여_11세,2021년10월_여_12세,2021년10월_여_13세,2021년10월_여_14세,2021년10월_여_15세,2021년10월_여_16세,2021년10월_여_17세,2021년10월_여_18세,2021년10월_여_19세,2021년10월_여_20세,2021년10월_여_21세,2021년10월_여_22세,2021년10월_여_23세,2021년10월_여_24세,2021년10월_여_25세,2021년10월_여_26세,2021년10월_여_27세,2021년10월_여_28세,2021년10월_여_29세,2021년10월_여_30세,2021년10월_여_31세,2021년10월_여_32세,2021년10월_여_33세,2021년10월_여_34세,2021년10월_여_35세,2021년10월_여_36세,2021년10월_여_37세,2021년10월_여_38세,2021년10월_여_39세,2021년10월_여_40세,2021년10월_여_41세,2021년10월_여_42세,2021년10월_여_43세,2021년10월_여_44세,2021년10월_여_45세,2021년10월_여_46세,2021년10월_여_47세,2021년10월_여_48세,2021년10월_여_49세,2021년10월_여_50세,2021년10월_여_51세,2021년10월_여_52세,2021년10월_여_53세,2021년10월_여_54세,2021년10월_여_55세,2021년10월_여_56세,2021년10월_여_57세,2021년10월_여_58세,2021년10월_여_59세,2021년10월_여_60세,2021년10월_여_61세,2021년10월_여_62세,2021년10월_여_63세,2021년10월_여_64세,2021년10월_여_65세,2021년10월_여_66세,2021년10월_여_67세,2021년10월_여_68세,2021년10월_여_69세,2021년10월_여_70세,2021년10월_여_71세,2021년10월_여_72세,2021년10월_여_73세,2021년10월_여_74세,2021년10월_여_75세,2021년10월_여_76세,2021년10월_여_77세,2021년10월_여_78세,2021년10월_여_79세,2021년10월_여_80세,2021년10월_여_81세,2021년10월_여_82세,2021년10월_여_83세,2021년10월_여_84세,2021년10월_여_85세,2021년10월_여_86세,2021년10월_여_87세,2021년10월_여_88세,2021년10월_여_89세,2021년10월_여_90세,2021년10월_여_91세,2021년10월_여_92세,2021년10월_여_93세,2021년10월_여_94세,2021년10월_여_95세,2021년10월_여_96세,2021년10월_여_97세,2021년10월_여_98세,2021년10월_여_99세,2021년10월_여_100세 이상,,,,,,,
경기도 연천군 (4180000000),42797,42797,202,234,229,244,224,280,275,281,319,280,297,318,280,300,295,288,306,314,303,349,426,440,466,456,598,542,562,547,549,570,509,434,421,394,378,357,341,380,413,470,468,451,424,427,435,377,476,589,518,591,629,556,687,635,660,667,767,741,811,785,886,928,883,852,924,798,843,705,533,613,399,466,526,568,599,458,449,437,429,536,464,419,378,376,339,249,264,182,150,140,76,87,68,46,48,26,27,16,12,7,26,22412,22412,94,108,116,130,132,139,139,129,168,142,152,155,141,165,149,165,160,169,166,192,232,246,283,307,414,356,370,360,353,361,300,275,261,233,194,206,183,222,214,241,262,228,217,229,239,202,270,317,303,336,366,271,389,318,353,373,419,416,419,431,460,468,469,445,493,399,447,378,270,307,191,224,246,280,272,212,203,204,166,213,200,148,130,151,101,91,91,59,52,46,25,26,16,8,10,6,5,4,5,3,8,20385,20385,108,126,113,114,92,141,136,152,151,138,145,163,139,135,146,123,146,145,137,157,194,194,183,149,184,186,192,187,196,209,209,159,160,161,184,151,158,158,199,229,206,223,207,198,196,175,206,272,215,255,263,285,298,317,307,294,348,325,392,354,426,460,414,407,431,399,396,327,263,306,208,242,280,288,327,246,246,233,263,323,264,271,248,225,238,158,173,123,98,94,51,61,52,38,38,20,22,12,7,4,18,,,,,,,
경기도 가평군 (4182000000),62241,62241,237,250,263,271,307,341,360,346,350,459,425,428,407,461,443,433,446,472,461,529,608,626,582,601,652,665,604,598,616,596,551,526,520,516,532,510,545,528,616,684,719,730,681,703,695,742,768,920,860,966,952,994,1083,1069,1038,1110,1149,1160,1213,1303,1469,1507,1442,1333,1331,1286,1340,1106,999,1084,624,718,714,719,735,616,702,609,597,708,554,523,529,439,408,383,332,246,214,192,109,106,89,69,39,38,35,18,11,12,36,32130,32130,123,127,127,129,159,174,191,178,186,210,205,216,203,243,222,233,225,249,259,292,341,334,333,338,389,410,356,366,357,353,334,287,296,275,286,275,295,282,335,354,376,381,367,375,372,380,416,505,488,537,503,528,599,557,524,606,620,620,654,673,759,729,755,695,720,669,690,562,517,569,310,336,344,364,351,307,325,300,254,314,226,223,215,168,182,145,114,80,67,60,30,29,23,16,13,11,6,3,3,4,14,30111,30111,114,123,136,142,148,167,169,168,164,249,220,212,204,218,221,200,221,223,202,237,267,292,249,263,263,255,248,232,259,243,217,239,224,241,246,235,250,246,281,330,343,349,314,328,323,362,352,415,372,429,449,466,484,512,514,504,529,540,559,630,710,778,687,638,611,617,650,544,482,515,314,382,370,355,384,309,377,309,343,394,328,300,314,271,226,238,218,166,147,132,79,77,66,53,26,27,29,15,8,8,22,,,,,,,
경기도 양평군 (4183000000),121188,121188,468,486,529,586,710,788,821,879,851,1014,1010,977,970,992,1045,995,872,988,925,1173,1105,1041,1054,1019,1068,1057,1070,1056,1044,1139,993,925,902,911,940,1012,1085,1161,1271,1522,1464,1630,1507,1424,1477,1543,1671,1759,1888,1929,1964,1917,1987,1979,1929,2053,2166,2086,2306,2416,2912,2794,2692,2639,2432,2384,2560,2114,1903,2238,1325,1419,1483,1445,1541,1191,1196,1187,1144,1281,1017,857,875,775,707,666,571,498,387,312,242,239,165,126,90,61,49,33,23,17,49,60873,60873,225,260,269,304,364,392,413,468,424,518,524,502,506,499,518,536,481,521,509,683,638,586,597,548,607,600,603,571,583,628,537,497,467,459,470,513,525,567,639,731,725,782,746,714,729,772,883,914,961,1051,1004,999,1057,1036,957,1052,1106,1075,1189,1216,1464,1375,1346,1332,1245,1200,1250,1039,908,1125,649,714,734,768,758,622,581,586,498,603,446,398,358,316,263,258,178,162,116,84,59,56,35,26,24,11,13,6,3,3,11,60315,60315,243,226,260,282,346,396,408,411,427,496,486,475,464,493,527,459,391,467,416,490,467,455,457,471,461,457,467,485,461,511,456,428,435,452,470,499,560,594,632,791,739,848,761,710,748,771,788,845,927,878,960,918,930,943,972,1001,1060,1011,1117,1200,1448,1419,1346,1307,1187,1184,1310,1075,995,1113,676,705,749,677,783,569,615,601,646,678,571,459,517,459,444,408,393,336,271,228,183,183,130,100,66,50,36,27,20,14,38,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
